step	depth	row	col	cands	cs	val
749	27	9	5	1	47	4
750	28	9	6	1	45	1
751	29	7	3	1	47	1
752	32	5	2	1	45	1
753	20	9	4	1	50	9
754	12	9	7	2	43	3
755	13	7	7	2	43	2
756	14	6	8	2	42	3
757	15	5	8	1	42	5
758	17	7	8	2	45	8
759	18	9	8	1	28	9
760	19	9	4	2	51	6
761	20	9	3	1	47	8
762	26	7	3	1	47	1
763	19	9	4	1	51	8
764	20	9	5	2	47	1
765	21	7	3	1	48	1
766	20	9	5	1	47	4
767	21	9	6	1	45	1
768	26	8	3	1	31	8
769	17	7	8	1	45	9
770	18	9	8	1	28	8
771	19	9	4	2	51	6
772	20	9	3	1	47	9
773	22	8	2	1	47	2
774	24	2	2	1	45	4
775	27	2	1	1	45	8
776	19	9	4	1	51	9
777	20	9	3	1	47	7
778	22	1	2	1	45	9
779	14	4	8	1	29	3
780	15	6	8	2	42	5
781	16	5	8	1	42	7
782	17	7	8	2	45	8
783	18	9	8	1	28	9
784	19	9	4	2	51	6
785	20	9	3	1	47	8
786	19	9	4	1	51	8
787	20	9	5	2	47	1
788	21	9	6	1	45	4
789	24	9	1	1	48	2
790	20	9	5	1	47	4
791	21	9	6	1	45	1
792	26	7	3	1	49	1
793	17	7	8	1	45	9
794	18	9	8	1	28	8
795	19	9	4	2	51	6
796	20	9	1	1	49	7
797	22	8	2	1	47	2
798	24	1	1	1	44	2
799	27	9	9	1	27	4
800	19	9	4	1	51	9
801	20	9	3	1	48	7
802	22	1	2	1	46	9
803	25	2	6	1	27	9
804	15	6	8	1	42	7
805	16	5	8	1	42	9
806	17	6	7	2	42	1
807	18	5	7	2	49	4
808	19	4	7	1	28	6
809	20	4	6	2	44	1
810	21	3	6	1	42	5
811	22	7	8	2	45	5
812	23	7	3	1	50	1
813	22	7	8	1	45	8
814	23	7	6	1	44	7
815	25	9	6	2	45	2
816	26	8	2	1	47	2
817	25	9	6	1	45	4
818	26	9	9	1	28	9
819	28	9	5	1	47	1
820	30	8	1	1	45	3
821	20	4	6	1	44	4
822	21	3	6	1	42	8
823	24	9	8	1	28	5
824	25	9	6	2	45	1
825	26	7	3	1	51	1
826	27	9	4	2	51	6
827	27	9	4	1	52	8
828	28	9	5	1	47	4
829	33	8	1	1	46	3
830	25	9	6	1	45	2
831	26	9	1	1	49	6
832	18	5	7	1	49	6
833	19	4	7	1	28	4
834	20	4	6	2	44	1
835	21	3	6	1	42	7
836	22	7	8	1	45	5
837	26	6	6	1	42	6
838	20	4	6	1	44	2
839	21	3	6	1	42	8
840	22	7	8	2	45	5
841	23	7	6	1	44	4
842	22	7	8	1	45	8
843	23	7	6	1	45	7
844	25	9	6	2	45	1
845	26	7	3	1	51	1
846	27	4	5	2	46	1
847	28	9	4	1	52	6
848	27	4	5	1	46	5
849	25	9	6	1	45	4
850	26	7	3	1	51	3
851	17	6	7	1	42	4
852	18	5	7	2	49	1
853	19	4	7	1	28	6
854	20	7	6	2	45	1
855	21	7	8	1	45	5
856	20	7	6	1	45	4
857	21	7	8	1	46	8
858	18	5	7	1	49	6
859	19	4	7	1	28	1
860	23	7	6	2	45	1
861	24	9	4	1	53	9
862	23	7	6	1	45	4
863	24	7	8	1	47	8
864	13	7	7	1	43	4
865	14	6	8	2	42	3
866	15	5	8	1	42	7
867	16	7	9	2	37	2
868	17	5	7	3	49	1
869	18	6	7	2	42	2
870	19	4	7	1	28	6
871	20	9	2	2	57	1
872	21	9	4	1	54	9
873	22	7	8	1	48	9
874	20	3	2	1	45	1
875	21	7	3	2	52	1
876	22	9	5	2	47	1
877	23	3	4	2	42	3
878	24	1	1	1	44	3
879	25	1	2	2	46	6
880	25	1	2	1	47	9
881	23	3	4	1	42	4
882	24	3	3	1	29	8
883	26	2	1	1	46	2
884	22	9	6	1	45	1
885	23	7	5	2	47	3
